cell,formula,cached_value,ambiguity_flag,upstream_sheets,expected_value_status,safe_to_use_as_gtc_expected,notes
R31,"=IF(Q31=0,"""",IF(Q31<='Fiscal Terms_PIA'!$W$60,'Fiscal Terms_PIA'!$X$60,IF(AND(Q31>'Fiscal Terms_PIA'!$W$60,Q31<='Fiscal Terms_PIA'!$W$61),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+(Q31-'Fiscal Terms_PIA'!$W$60)*'Fiscal Terms_PIA'!$X$61)/Q31,IF(AND(Q31>'Fiscal Terms_PIA'!$W$61,Q31<='Fiscal Terms_PIA'!$W$62),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*(Q31-'Fiscal Terms_PIA'!$W$61))/Q31,IF(AND(Q31>'Fiscal Terms_PIA'!$W$62,Q31<='Fiscal Terms_PIA'!$W$63),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*(Q31-'Fiscal Terms_PIA'!$W$62))/Q31,IF(AND(Q31>'Fiscal Terms_PIA'!$W$63,Q31<='Fiscal Terms_PIA'!$W$64),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*('Fiscal Terms_PIA'!$W$63-'Fiscal Terms_PIA'!$W$62)+'Fiscal Terms_PIA'!$X$64*(Q31-'Fiscal Terms_PIA'!$W$63))/Q31,'Fiscal Terms_PIA'!$X$65))))))",,NO_CACHED_VALUE,Fiscal Terms_PIA,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
S31,"=IF(Q31=0,"""",100%-R31)",,NO_CACHED_VALUE,,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
R32,"=IF(Q32=0,"""",IF(Q32<='Fiscal Terms_PIA'!$W$60,'Fiscal Terms_PIA'!$X$60,IF(AND(Q32>'Fiscal Terms_PIA'!$W$60,Q32<='Fiscal Terms_PIA'!$W$61),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+(Q32-'Fiscal Terms_PIA'!$W$60)*'Fiscal Terms_PIA'!$X$61)/Q32,IF(AND(Q32>'Fiscal Terms_PIA'!$W$61,Q32<='Fiscal Terms_PIA'!$W$62),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*(Q32-'Fiscal Terms_PIA'!$W$61))/Q32,IF(AND(Q32>'Fiscal Terms_PIA'!$W$62,Q32<='Fiscal Terms_PIA'!$W$63),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*(Q32-'Fiscal Terms_PIA'!$W$62))/Q32,IF(AND(Q32>'Fiscal Terms_PIA'!$W$63,Q32<='Fiscal Terms_PIA'!$W$64),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*('Fiscal Terms_PIA'!$W$63-'Fiscal Terms_PIA'!$W$62)+'Fiscal Terms_PIA'!$X$64*(Q32-'Fiscal Terms_PIA'!$W$63))/Q32,'Fiscal Terms_PIA'!$X$65))))))",,NO_CACHED_VALUE,Fiscal Terms_PIA,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
S32,"=IF(Q32=0,"""",100%-R32)",,NO_CACHED_VALUE,,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
R33,"=IF(Q33=0,"""",IF(Q33<='Fiscal Terms_PIA'!$W$60,'Fiscal Terms_PIA'!$X$60,IF(AND(Q33>'Fiscal Terms_PIA'!$W$60,Q33<='Fiscal Terms_PIA'!$W$61),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+(Q33-'Fiscal Terms_PIA'!$W$60)*'Fiscal Terms_PIA'!$X$61)/Q33,IF(AND(Q33>'Fiscal Terms_PIA'!$W$61,Q33<='Fiscal Terms_PIA'!$W$62),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*(Q33-'Fiscal Terms_PIA'!$W$61))/Q33,IF(AND(Q33>'Fiscal Terms_PIA'!$W$62,Q33<='Fiscal Terms_PIA'!$W$63),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*(Q33-'Fiscal Terms_PIA'!$W$62))/Q33,IF(AND(Q33>'Fiscal Terms_PIA'!$W$63,Q33<='Fiscal Terms_PIA'!$W$64),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*('Fiscal Terms_PIA'!$W$63-'Fiscal Terms_PIA'!$W$62)+'Fiscal Terms_PIA'!$X$64*(Q33-'Fiscal Terms_PIA'!$W$63))/Q33,'Fiscal Terms_PIA'!$X$65))))))",,NO_CACHED_VALUE,Fiscal Terms_PIA,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
S33,"=IF(Q33=0,"""",100%-R33)",,NO_CACHED_VALUE,,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
R34,"=IF(Q34=0,"""",IF(Q34<='Fiscal Terms_PIA'!$W$60,'Fiscal Terms_PIA'!$X$60,IF(AND(Q34>'Fiscal Terms_PIA'!$W$60,Q34<='Fiscal Terms_PIA'!$W$61),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+(Q34-'Fiscal Terms_PIA'!$W$60)*'Fiscal Terms_PIA'!$X$61)/Q34,IF(AND(Q34>'Fiscal Terms_PIA'!$W$61,Q34<='Fiscal Terms_PIA'!$W$62),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*(Q34-'Fiscal Terms_PIA'!$W$61))/Q34,IF(AND(Q34>'Fiscal Terms_PIA'!$W$62,Q34<='Fiscal Terms_PIA'!$W$63),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*(Q34-'Fiscal Terms_PIA'!$W$62))/Q34,IF(AND(Q34>'Fiscal Terms_PIA'!$W$63,Q34<='Fiscal Terms_PIA'!$W$64),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*('Fiscal Terms_PIA'!$W$63-'Fiscal Terms_PIA'!$W$62)+'Fiscal Terms_PIA'!$X$64*(Q34-'Fiscal Terms_PIA'!$W$63))/Q34,'Fiscal Terms_PIA'!$X$65))))))",,NO_CACHED_VALUE,Fiscal Terms_PIA,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
S34,"=IF(Q34=0,"""",100%-R34)",,NO_CACHED_VALUE,,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
R35,"=IF(Q35=0,"""",IF(Q35<='Fiscal Terms_PIA'!$W$60,'Fiscal Terms_PIA'!$X$60,IF(AND(Q35>'Fiscal Terms_PIA'!$W$60,Q35<='Fiscal Terms_PIA'!$W$61),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+(Q35-'Fiscal Terms_PIA'!$W$60)*'Fiscal Terms_PIA'!$X$61)/Q35,IF(AND(Q35>'Fiscal Terms_PIA'!$W$61,Q35<='Fiscal Terms_PIA'!$W$62),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*(Q35-'Fiscal Terms_PIA'!$W$61))/Q35,IF(AND(Q35>'Fiscal Terms_PIA'!$W$62,Q35<='Fiscal Terms_PIA'!$W$63),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*(Q35-'Fiscal Terms_PIA'!$W$62))/Q35,IF(AND(Q35>'Fiscal Terms_PIA'!$W$63,Q35<='Fiscal Terms_PIA'!$W$64),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*('Fiscal Terms_PIA'!$W$63-'Fiscal Terms_PIA'!$W$62)+'Fiscal Terms_PIA'!$X$64*(Q35-'Fiscal Terms_PIA'!$W$63))/Q35,'Fiscal Terms_PIA'!$X$65))))))",,NO_CACHED_VALUE,Fiscal Terms_PIA,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
S35,"=IF(Q35=0,"""",100%-R35)",,NO_CACHED_VALUE,,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
R36,"=IF(Q36=0,"""",IF(Q36<='Fiscal Terms_PIA'!$W$60,'Fiscal Terms_PIA'!$X$60,IF(AND(Q36>'Fiscal Terms_PIA'!$W$60,Q36<='Fiscal Terms_PIA'!$W$61),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+(Q36-'Fiscal Terms_PIA'!$W$60)*'Fiscal Terms_PIA'!$X$61)/Q36,IF(AND(Q36>'Fiscal Terms_PIA'!$W$61,Q36<='Fiscal Terms_PIA'!$W$62),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*(Q36-'Fiscal Terms_PIA'!$W$61))/Q36,IF(AND(Q36>'Fiscal Terms_PIA'!$W$62,Q36<='Fiscal Terms_PIA'!$W$63),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*(Q36-'Fiscal Terms_PIA'!$W$62))/Q36,IF(AND(Q36>'Fiscal Terms_PIA'!$W$63,Q36<='Fiscal Terms_PIA'!$W$64),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*('Fiscal Terms_PIA'!$W$63-'Fiscal Terms_PIA'!$W$62)+'Fiscal Terms_PIA'!$X$64*(Q36-'Fiscal Terms_PIA'!$W$63))/Q36,'Fiscal Terms_PIA'!$X$65))))))",,NO_CACHED_VALUE,Fiscal Terms_PIA,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
S36,"=IF(Q36=0,"""",100%-R36)",,NO_CACHED_VALUE,,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
R37,"=IF(Q37=0,"""",IF(Q37<='Fiscal Terms_PIA'!$W$60,'Fiscal Terms_PIA'!$X$60,IF(AND(Q37>'Fiscal Terms_PIA'!$W$60,Q37<='Fiscal Terms_PIA'!$W$61),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+(Q37-'Fiscal Terms_PIA'!$W$60)*'Fiscal Terms_PIA'!$X$61)/Q37,IF(AND(Q37>'Fiscal Terms_PIA'!$W$61,Q37<='Fiscal Terms_PIA'!$W$62),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*(Q37-'Fiscal Terms_PIA'!$W$61))/Q37,IF(AND(Q37>'Fiscal Terms_PIA'!$W$62,Q37<='Fiscal Terms_PIA'!$W$63),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*(Q37-'Fiscal Terms_PIA'!$W$62))/Q37,IF(AND(Q37>'Fiscal Terms_PIA'!$W$63,Q37<='Fiscal Terms_PIA'!$W$64),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*('Fiscal Terms_PIA'!$W$63-'Fiscal Terms_PIA'!$W$62)+'Fiscal Terms_PIA'!$X$64*(Q37-'Fiscal Terms_PIA'!$W$63))/Q37,'Fiscal Terms_PIA'!$X$65))))))",,NO_CACHED_VALUE,Fiscal Terms_PIA,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
S37,"=IF(Q37=0,"""",100%-R37)",,NO_CACHED_VALUE,,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
R38,"=IF(Q38=0,"""",IF(Q38<='Fiscal Terms_PIA'!$W$60,'Fiscal Terms_PIA'!$X$60,IF(AND(Q38>'Fiscal Terms_PIA'!$W$60,Q38<='Fiscal Terms_PIA'!$W$61),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+(Q38-'Fiscal Terms_PIA'!$W$60)*'Fiscal Terms_PIA'!$X$61)/Q38,IF(AND(Q38>'Fiscal Terms_PIA'!$W$61,Q38<='Fiscal Terms_PIA'!$W$62),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*(Q38-'Fiscal Terms_PIA'!$W$61))/Q38,IF(AND(Q38>'Fiscal Terms_PIA'!$W$62,Q38<='Fiscal Terms_PIA'!$W$63),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*(Q38-'Fiscal Terms_PIA'!$W$62))/Q38,IF(AND(Q38>'Fiscal Terms_PIA'!$W$63,Q38<='Fiscal Terms_PIA'!$W$64),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*('Fiscal Terms_PIA'!$W$63-'Fiscal Terms_PIA'!$W$62)+'Fiscal Terms_PIA'!$X$64*(Q38-'Fiscal Terms_PIA'!$W$63))/Q38,'Fiscal Terms_PIA'!$X$65))))))",,NO_CACHED_VALUE,Fiscal Terms_PIA,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
S38,"=IF(Q38=0,"""",100%-R38)",,NO_CACHED_VALUE,,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
R39,"=IF(Q39=0,"""",IF(Q39<='Fiscal Terms_PIA'!$W$60,'Fiscal Terms_PIA'!$X$60,IF(AND(Q39>'Fiscal Terms_PIA'!$W$60,Q39<='Fiscal Terms_PIA'!$W$61),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+(Q39-'Fiscal Terms_PIA'!$W$60)*'Fiscal Terms_PIA'!$X$61)/Q39,IF(AND(Q39>'Fiscal Terms_PIA'!$W$61,Q39<='Fiscal Terms_PIA'!$W$62),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*(Q39-'Fiscal Terms_PIA'!$W$61))/Q39,IF(AND(Q39>'Fiscal Terms_PIA'!$W$62,Q39<='Fiscal Terms_PIA'!$W$63),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*(Q39-'Fiscal Terms_PIA'!$W$62))/Q39,IF(AND(Q39>'Fiscal Terms_PIA'!$W$63,Q39<='Fiscal Terms_PIA'!$W$64),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*('Fiscal Terms_PIA'!$W$63-'Fiscal Terms_PIA'!$W$62)+'Fiscal Terms_PIA'!$X$64*(Q39-'Fiscal Terms_PIA'!$W$63))/Q39,'Fiscal Terms_PIA'!$X$65))))))",,NO_CACHED_VALUE,Fiscal Terms_PIA,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
S39,"=IF(Q39=0,"""",100%-R39)",,NO_CACHED_VALUE,,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
R40,"=IF(Q40=0,"""",IF(Q40<='Fiscal Terms_PIA'!$W$60,'Fiscal Terms_PIA'!$X$60,IF(AND(Q40>'Fiscal Terms_PIA'!$W$60,Q40<='Fiscal Terms_PIA'!$W$61),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+(Q40-'Fiscal Terms_PIA'!$W$60)*'Fiscal Terms_PIA'!$X$61)/Q40,IF(AND(Q40>'Fiscal Terms_PIA'!$W$61,Q40<='Fiscal Terms_PIA'!$W$62),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*(Q40-'Fiscal Terms_PIA'!$W$61))/Q40,IF(AND(Q40>'Fiscal Terms_PIA'!$W$62,Q40<='Fiscal Terms_PIA'!$W$63),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*(Q40-'Fiscal Terms_PIA'!$W$62))/Q40,IF(AND(Q40>'Fiscal Terms_PIA'!$W$63,Q40<='Fiscal Terms_PIA'!$W$64),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*('Fiscal Terms_PIA'!$W$63-'Fiscal Terms_PIA'!$W$62)+'Fiscal Terms_PIA'!$X$64*(Q40-'Fiscal Terms_PIA'!$W$63))/Q40,'Fiscal Terms_PIA'!$X$65))))))",,NO_CACHED_VALUE,Fiscal Terms_PIA,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
S40,"=IF(Q40=0,"""",100%-R40)",,NO_CACHED_VALUE,,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
R41,"=IF(Q41=0,"""",IF(Q41<='Fiscal Terms_PIA'!$W$60,'Fiscal Terms_PIA'!$X$60,IF(AND(Q41>'Fiscal Terms_PIA'!$W$60,Q41<='Fiscal Terms_PIA'!$W$61),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+(Q41-'Fiscal Terms_PIA'!$W$60)*'Fiscal Terms_PIA'!$X$61)/Q41,IF(AND(Q41>'Fiscal Terms_PIA'!$W$61,Q41<='Fiscal Terms_PIA'!$W$62),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*(Q41-'Fiscal Terms_PIA'!$W$61))/Q41,IF(AND(Q41>'Fiscal Terms_PIA'!$W$62,Q41<='Fiscal Terms_PIA'!$W$63),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*(Q41-'Fiscal Terms_PIA'!$W$62))/Q41,IF(AND(Q41>'Fiscal Terms_PIA'!$W$63,Q41<='Fiscal Terms_PIA'!$W$64),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*('Fiscal Terms_PIA'!$W$63-'Fiscal Terms_PIA'!$W$62)+'Fiscal Terms_PIA'!$X$64*(Q41-'Fiscal Terms_PIA'!$W$63))/Q41,'Fiscal Terms_PIA'!$X$65))))))",,NO_CACHED_VALUE,Fiscal Terms_PIA,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
S41,"=IF(Q41=0,"""",100%-R41)",,NO_CACHED_VALUE,,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
